KOMNAVN;Kom.nr;pop_2007;pop_2008;pop_2009;pop_2010;pop_2011;pop_2012;pop_2013;2pop_014;pop_2015;pop_2016;pop_2017;pop_2018;pop_2019;pop_2020;pop_2021;pop_2022
København;101;503.699;509.861;518.574;528.208;539.542;549.050;559.440;569.557;580.184;591.481;602.481;613.288;623.404;632.340;638.117;644.431
Frederiksberg;147;92.234;93.444;95.029;96.718;98.782;100.215;102.029;102.717;103.192;104.481;105.037;104.410;103.960;104.305;103.677;103.608
Ballerup;151;46.914;47.116;47.398;47.652;47.930;47.994;48.211;48.514;48.355;48.224;48.231;48.295;48.458;48.602;49.310;49.274
Brøndby;153;33.947;33.831;33.762;33.795;34.021;34.084;34.210;34.580;35.050;35.322;35.594;35.538;35.397;35.090;35.232;35.651
Dragør;155;13.184;13.261;13.411;13.564;13.717;13.692;13.917;13.977;14.028;14.142;14.288;14.272;14.270;14.494;14.569;14.640
Gentofte;157;68.672;68.913;69.794;71.052;71.714;72.814;73.360;74.282;74.932;75.350;75.805;75.803;75.176;74.830;74.550;74.217
Gladsaxe;159;61.945;62.562;63.233;64.102;64.951;65.303;66.030;66.656;67.347;67.914;68.775;69.484;69.681;69.262;69.200;69.259
Glostrup;161;20.618;20.673;21.008;21.296;21.384;21.650;21.869;22.066;22.357;22.461;22.528;22.663;22.615;23.128;23.380;23.514
Herlev;163;26.743;26.567;26.635;26.556;26.597;26.608;26.958;27.706;28.148;28.423;28.406;28.572;28.786;28.953;28.913;28.867
Albertslund;165;27.608;27.602;27.706;27.730;27.800;27.864;27.824;27.728;27.806;27.880;27.896;27.743;27.877;27.731;27.366;27.599
Hvidovre;167;49.422;49.380;49.366;49.724;50.081;50.600;51.341;51.842;52.380;52.831;52.964;53.282;53.416;53.527;53.451;53.267
Høje-Taastrup;169;46.683;47.158;47.400;47.664;47.753;48.081;48.471;48.807;49.230;49.960;50.246;50.596;50.686;50.759;51.729;53.053
Lyngby-Taarbæk;173;51.751;51.449;51.532;52.237;52.754;53.251;53.840;54.237;54.778;55.097;55.240;55.472;55.790;56.214;56.614;57.826
Rødovre;175;36.244;36.144;36.228;36.233;36.524;36.883;37.351;37.552;37.743;38.002;38.492;39.343;40.052;40.652;41.113;41.382
Ishøj;183;20.715;20.687;20.756;20.606;20.797;21.087;21.131;21.547;22.025;22.358;22.719;22.988;22.946;22.989;23.131;23.225
Tårnby;185;39.772;40.016;40.214;40.383;40.835;41.151;41.572;41.992;42.573;42.860;43.010;43.063;42.984;42.989;42.670;42.723
Vallensbæk;187;12.145;12.399;13.365;14.045;14.445;14.565;14.797;15.095;15.204;15.419;15.705;16.280;16.654;16.633;16.515;16.488
Furesø;190;37.624;37.667;37.864;38.232;38.286;38.243;38.236;38.492;39.077;40.156;40.613;40.911;41.069;40.965;41.001;41.402
Allerød;201;23.609;23.493;23.821;24.089;24.096;24.043;24.073;24.175;24.411;24.732;24.942;25.235;25.646;25.633;25.893;25.867
Fredensborg;210;39.303;39.240;39.254;39.226;39.341;39.565;39.462;39.585;39.772;40.112;40.504;40.779;40.819;40.865;40.998;41.211
Helsingør;217;61.012;60.844;61.053;61.143;61.368;61.493;61.613;61.519;61.632;62.092;62.443;62.686;62.567;62.695;63.000;62.875
Hillerød;219;46.354;46.568;47.081;47.473;47.916;48.203;48.315;48.695;49.108;49.672;50.109;50.650;50.998;51.183;51.528;53.257
Hørsholm;223;24.332;24.197;24.310;24.378;24.415;24.365;24.543;24.709;24.856;24.965;24.977;25.028;25.007;24.864;24.917;24.761
Rudersdal;230;53.910;53.869;53.915;54.444;54.765;54.630;54.827;55.034;55.441;55.739;56.133;55.989;56.509;56.728;57.024;57.247
Egedal;240;40.057;40.533;41.031;41.513;41.614;41.821;42.018;42.210;42.573;42.773;43.082;43.000;43.335;43.354;43.696;44.375
Frederikssund;250;43.910;44.102;44.246;44.182;44.307;44.345;44.365;44.401;44.413;44.725;45.036;45.189;45.332;45.223;45.439;45.800
Halsnæs;260;30.798;30.824;31.013;31.077;31.056;30.980;30.803;30.647;30.736;31.049;31.162;31.168;31.271;31.384;31.420;31.344
Gribskov;270;40.409;40.512;40.627;40.694;40.700;40.603;40.655;40.778;40.855;41.107;41.213;41.217;41.195;41.048;40.971;41.147
Bornholm;400;43.040;42.817;42.563;42.154;41.802;41.303;40.715;40.215;39.828;39.756;39.695;39.632;39.572;39.499;39.570;39.545
Greve;253;47.672;47.773;47.951;47.826;47.978;47.942;47.980;48.095;48.835;49.518;49.921;49.974;50.267;50.558;50.514;50.818
Køge;259;56.298;56.637;56.848;57.125;57.271;57.307;57.771;58.374;59.285;59.868;60.109;60.356;60.675;60.979;61.475;61.718
Roskilde;265;81.017;80.687;81.285;81.947;82.542;83.137;83.554;84.219;85.026;86.207;87.015;87.382;87.577;87.914;88.889;89.447
Solrød;269;20.852;20.759;20.743;20.882;20.964;21.156;21.145;21.339;21.552;21.788;22.147;22.518;23.065;23.255;23.441;23.794
Odsherred;306;32.980;33.129;33.159;33.030;32.845;32.640;32.452;32.534;32.665;32.816;33.023;33.083;33.122;32.957;32.923;32.881
Holbæk;316;68.451;69.010;69.528;69.550;69.521;69.415;69.263;69.016;69.035;69.972;70.950;70.983;71.297;71.541;71.913;72.810
Faxe;320;35.117;35.418;35.441;35.306;35.277;35.110;35.123;35.119;35.195;35.614;35.916;36.139;36.513;36.576;36.713;37.161
Kalundborg;326;49.377;49.743;49.741;49.265;49.088;48.632;48.294;48.358;48.469;48.660;48.736;48.982;48.681;48.436;48.487;48.368
Ringsted;329;31.468;32.092;32.442;32.584;32.890;33.153;33.217;33.349;33.573;34.031;34.259;34.473;34.725;34.852;34.847;35.141
Slagelse;330;76.949;77.457;77.457;77.475;77.442;77.310;77.167;76.948;77.293;78.140;78.828;78.968;79.073;79.073;79.122;79.691
Stevns;336;21.828;21.892;21.948;21.931;21.855;21.855;21.818;21.825;22.038;22.260;22.492;22.727;22.782;22.805;23.034;23.473
Sorø;340;28.956;29.180;29.458;29.522;29.499;29.393;29.288;29.299;29.331;29.543;29.595;29.669;29.834;29.881;29.993;30.018
Lejre;350;26.361;26.603;26.778;26.794;26.764;26.887;26.901;26.989;27.172;27.317;27.402;27.544;27.775;27.996;28.173;28.623
Lolland;360;48.634;48.219;47.757;46.984;46.111;45.241;44.436;43.528;43.024;42.638;42.285;41.982;41.615;41.105;40.539;40.107
Næstved;370;80.133;80.732;80.954;81.112;80.963;81.012;81.163;81.432;81.687;82.342;82.581;82.938;82.991;83.143;83.181;83.801
Guldborgsund;376;63.540;63.496;63.211;62.912;62.583;61.913;61.322;61.007;60.829;60.979;61.257;61.219;60.930;60.722;60.328;60.310
Vordingborg;390;46.485;46.600;46.551;46.319;46.170;45.804;45.465;45.295;45.471;45.806;46.037;46.087;45.816;45.566;45.268;45.352
Middelfart;410;36.771;37.274;37.625;37.661;37.701;37.612;37.523;37.685;37.857;37.913;38.093;38.210;38.553;38.853;39.116;39.603
Assens;420;41.816;42.054;42.128;42.054;41.635;41.443;41.325;41.037;41.046;41.224;41.390;41.328;41.212;40.965;40.867;40.972
Faaborg-Midtfyn;430;51.612;51.950;52.108;52.085;51.926;51.635;51.409;51.078;50.953;51.236;51.376;51.536;51.809;51.556;51.683;51.849
Kerteminde;440;23.524;23.630;23.745;23.770;23.758;23.793;23.787;23.665;23.728;23.880;23.774;23.756;23.773;23.812;23.847;24.034
Nyborg;450;31.508;31.607;31.714;31.690;31.499;31.486;31.350;31.314;31.573;31.886;32.142;32.032;32.042;32.009;31.933;32.098
Odense;461;186.745;186.932;187.929;188.777;190.245;191.610;193.370;195.797;197.480;198.972;200.563;202.348;204.182;204.895;205.509;205.978
Svendborg;479;58.714;59.040;59.185;58.998;58.713;58.551;58.296;57.979;57.988;58.228;58.510;58.698;58.599;58.296;58.588;59.193
Nordfyns;480;29.195;29.470;29.651;29.638;29.507;29.330;29.224;29.066;29.030;29.298;29.446;29.516;29.693;29.665;29.549;29.714
Langeland;482;13.937;13.741;13.563;13.510;13.322;13.094;12.861;12.695;12.647;12.547;12.578;12.641;12.560;12.491;12.367;12.316
Ærø;492;6.794;6.712;6.698;6.679;6.663;6.636;6.527;6.393;6.276;6.290;6.177;6.178;6.058;5.964;5.960;6.025
Haderslev;510;56.275;56.414;56.508;56.346;56.117;56.188;56.051;55.906;55.888;56.029;56.045;55.963;55.857;55.670;55.376;55.340
Billund;530;26.133;26.181;26.235;26.160;26.155;26.220;26.357;26.318;26.285;26.434;26.481;26.482;26.629;26.608;26.551;26.631
